phrase,phraseUpper
not,NOT
rather,RATHER
hardly,HARDLY
couldn't,COULDN'T
wasn't,WASN'T
didn't,DIDN'T
wouldn't,WOULDN'T
shouldn't,SHOULDN'T
weren't,WEREN'T
don't,DON'T
doesn't,DOESN'T
haven't,HAVEN'T
hasn't,HASN'T
won't,WON'T
wont,WONT
hadn't,HADN'T
