,feature,pos=0,pos>1,pos-features,neg=0,neg>1,neg-features,neutral=0,neutral>1,neutral-features,total-pos,total-neg,total-neutral
90,pos_ngram_4_JJ.JJR.JJS.RB.RBR.RBSNN.NNP.NNSactive,1257,16,5,1263,10,4,1268,5,4,1273,1273,1273
91,yesCountBefore,1273,0,1,1270,3,2,1269,4,3,1273,1273,1273
92,noBefore,1272,1,2,1272,1,2,1268,5,2,1273,1273,1273
93,ngram_3_negationspriorpolaritynegative,1273,0,1,1273,0,1,1273,0,1,1273,1273,1273
94,pos_ngram_4_JJ.JJR.JJS.RB.RBR.RBSNN.NNP.NNSpriorpolaritypositive,1241,32,5,1261,12,4,1266,7,4,1273,1273,1273
95,priorpolarityCountneutral,1085,188,3,1125,148,4,1047,226,4,1273,1273,1273
96,ngram_3_negationspriorpolaritypositive,1273,0,1,1273,0,1,1273,0,1,1273,1273,1273
97,priorpolaritypositiveCountBefore,1234,39,7,1197,76,7,1188,85,7,1273,1273,1273
98,ngram_4_negationspriorpolarityneutral,1273,0,1,1273,0,1,1273,0,1,1273,1273,1273
99,pos_ngram_4_JJ.JJR.JJSNN.NNP.NNShostile,1269,4,4,1261,12,3,1270,3,3,1273,1273,1273
100,activeCountAfter,1233,40,5,1183,90,6,1205,68,6,1273,1273,1273
101,priorpolaritybothCountBefore,1273,0,1,1272,1,2,1273,0,1,1273,1273,1273
102,pos_ngram_5_JJ.JJR.JJSNN.NNP.NNSnegationspriorpolaritypositive,1273,0,1,1273,0,1,1273,0,1,1273,1273,1273
103,negativCount,1042,231,4,793,480,5,1005,268,6,1273,1273,1273
104,activeCount,994,279,4,1053,220,4,1102,171,4,1273,1273,1273
105,ngram_4_hostilepriorpolaritynegative,1249,24,6,1134,139,10,1230,43,6,1273,1273,1273
106,negativCountstrongsubj,1219,54,3,1054,219,4,1206,67,3,1273,1273,1273
107,noAfter,1271,2,2,1263,10,2,1267,6,2,1273,1273,1273
108,punctuation,0,1273,4,0,1273,4,0,1273,4,1273,1273,1273
109,priorpolaritynegativeCountAfter,1227,46,7,1156,117,10,1168,105,7,1273,1273,1273
110,priorpolaritynegativeBefore,1236,37,2,1188,85,2,1191,82,2,1273,1273,1273
111,priorpolarityneutralAfter,1249,24,2,1235,38,2,1227,46,2,1273,1273,1273
112,ngram_4_negativpriorpolarityneutral,1238,35,6,1213,60,7,1230,43,5,1273,1273,1273
113,ngram_3_hostilepriorpolaritynegative,1252,21,4,1163,110,6,1242,31,4,1273,1273,1273
114,priorpolaritypositiveAfter,1221,52,2,1139,134,2,1173,100,2,1273,1273,1273
115,priorpolaritynegativeAfter,1227,46,2,1156,117,2,1168,105,2,1273,1273,1273
116,priorpolaritynegativeCountBefore,1236,37,5,1188,85,8,1191,82,7,1273,1273,1273
117,priorpolarityCountboth,1264,9,2,1272,1,2,1272,1,2,1273,1273,1273
118,ngram_3_negationspriorpolarityneutral,1273,0,1,1273,0,1,1273,0,1,1273,1273,1273
119,pos_ngram_5_JJ.JJR.JJSNN.NNP.NNShostile,1269,4,4,1261,12,4,1270,3,3,1273,1273,1273
120,hostileCountBefore,1260,13,3,1229,44,5,1228,45,4,1273,1273,1273
121,ngram_2_negativpriorpolarityneutral,1258,15,2,1251,22,2,1264,9,2,1273,1273,1273
122,ngram_4_negativpriorpolaritynegative,1216,57,8,1025,248,11,1184,89,9,1273,1273,1273
123,pos_ngram_4_JJ.JJR.JJSNN.NNP.NNSpriorpolaritynegative,1272,1,2,1253,20,4,1270,3,3,1273,1273,1273
124,ngram_2_negationspriorpolaritynegative,1273,0,1,1273,0,1,1273,0,1,1273,1273,1273
125,pos_ngram_5_JJ.JJR.JJS.RB.RBR.RBSNN.NNP.NNSpriorpolaritynegative,1271,2,3,1249,24,5,1267,6,4,1273,1273,1273
126,ngram_4_negationspriorpolaritypositive,1273,0,1,1273,0,1,1273,0,1,1273,1273,1273
127,yesAfter,1269,4,2,1268,5,2,1266,7,2,1273,1273,1273
128,ngram_2_persistpriorpolaritypositive,1267,6,2,1272,1,2,1273,0,1,1273,1273,1273
129,pos_ngram_4_JJ.JJR.JJSNN.NNP.NNSnegationspriorpolaritypositive,1273,0,1,1273,0,1,1273,0,1,1273,1273,1273
130,morePositiveThanNegative,700,573,2,1007,266,2,925,348,2,1273,1273,1273
131,ngram_2_pleasurpriorpolaritypositive,1245,28,2,1267,6,2,1262,11,2,1273,1273,1273
132,ngram_3_negativpriorpolaritypositive,1204,69,4,1125,148,6,1198,75,6,1273,1273,1273
133,pos_ngram_4_JJ.JJR.JJSNN.NNP.NNSpositiv,1247,26,5,1263,10,4,1264,9,5,1273,1273,1273
134,activeCountBefore,1252,21,5,1220,53,5,1212,61,5,1273,1273,1273
